purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets
0145200000425000439;22|34;567|639;orders+article;Закупка № 0145200000425000439 Приложение 2 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0145200000425000439 Приложение 2 Обоснование НМЦК.docx;22: боснована в соответствии с требованиями статьи 22 Федерального закона от 05.04.2013 г. №  || 34: ости закупок, а также в соответствии со ст. 34 Бюджетного кодекса РФ и с учетом выделе;"567: ия Российской Федерации от 02.10.2013 № 567 ""Об утверждении методических рекомендац || 639: и и торговли РФ от 28 февраля 2023 г. N 639 посредством применения метода сопостави"
0145200000425000608;22|34;567|639;orders+article;Закупка № 0145200000425000608 Приложение 2 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0145200000425000608 Приложение 2 Обоснование НМЦК.docx;22: боснована в соответствии с требованиями статьи 22 Федерального закона от 05.04.2013 г. №  || 34: ости закупок, а также в соответствии со ст. 34 Бюджетного кодекса РФ и с учетом выделе;"567: ия Российской Федерации от 02.10.2013 № 567 ""Об утверждении методических рекомендац || 639: и и торговли РФ от 28 февраля 2023 г. N 639 посредством применения метода сопостави"
0145200000425000756;22|34;567|639;orders+article;Закупка № 0145200000425000756 Приложение 2 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0145200000425000756 Приложение 2 Обоснование НМЦК.docx;22: боснована в соответствии с требованиями статьи 22 Федерального закона от 05.04.2013 г. №  || 34: ости закупок, а также в соответствии со ст. 34 Бюджетного кодекса РФ и с учетом выделе;"567: ия Российской Федерации от 02.10.2013 № 567 ""Об утверждении методических рекомендац || 639: и и торговли РФ от 28 февраля 2023 г. N 639 посредством применения метода сопостави"
0145200000425001096;22|34;567;orders+article;Закупка № 0145200000425001096 Приложение 2 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0145200000425001096 Приложение 2 Обоснование НМЦК.docx;22: боснована в соответствии с требованиями статьи 22 Федерального закона от 05.04.2013 г. №  || 34: ости закупок, а также в соответствии со ст. 34 Бюджетного кодекса РФ и с учетом выделе;"567: ия Российской Федерации от 02.10.2013 № 567 ""Об утверждении методических рекомендац"
0162300005325001153;;567;orders;Закупка № 0162300005325001153 Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0162300005325001153 Обоснование НМЦК.doc;;567: ого развития РФ от 02 октября 2013 г.№ 567 «Об утверждении методических рекомендац
0163300029425000230;22;;article;Закупка № 0163300029425000230 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0163300029425000230 Обоснование НМЦК.docx;22: н (анализа рынка) в соответствии с ч. 6 ст. 22 Федерального закона от 05.04.2013 № 44- | н (анализа рынка) в соответствии с ч. 6 ст. 22 Федерального закона от 05.04.2013 № 44-;
0171200001925000722;22;;article;Закупка № 0171200001925000722 Обоснование НМЦК.doc.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0171200001925000722 Обоснование НМЦК.doc.doc;"22: та осуществлено на основании требований статьи 22 Федерального закона от 05.04.2013 № 44- | от, услуг в соответствии с п. 2-8 ч. 18 ст. 22 Федерального закона 44-ФЗНаименование";
0171200001925000877;22;;article;Закупка № 0171200001925000877 Обоснование НМЦК.doc.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0171200001925000877 Обоснование НМЦК.doc.doc;"22: та осуществлено на основании требований статьи 22 Федерального закона от 05.04.2013 № 44- | от, услуг в соответствии с п. 2-8 ч. 18 ст. 22 Федерального закона 44-ФЗне использов";
0173100005025000009;;639;orders;Закупка № 0173100005025000009 2. Приложение № 2 к Извещению_Катера_Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0173100005025000009 2. Приложение № 2 к Извещению_Катера_Обоснование НМЦК.doc;;639: зом Минпромторга России от 28.02.2023 № 639 «Об утверждении Порядка определения нач
0173100005025000013;;639;orders;Закупка № 0173100005025000013 2. Приложение № 2 к Извещению_Катера_Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0173100005025000013 2. Приложение № 2 к Извещению_Катера_Обоснование НМЦК.doc;;639: зом Минпромторга России от 28.02.2023 № 639 «Об утверждении Порядка определения нач
0301100000425000045;;567;orders;Закупка № 0301100000425000045 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301100000425000045 Обоснование НМЦК.docx;;567: инэкономразвития России от 02.10.2013 N 567 «Об утверждении Методических рекомендац | инэкономразвития России от 02.10.2013 N 567 «Об утверждении Методических рекомендац
0301100000425000048;;567;orders;Закупка № 0301100000425000048 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301100000425000048 Обоснование НМЦК.docx;;567: инэкономразвития России от 02.10.2013 N 567 «Об утверждении Методических рекомендац | инэкономразвития России от 02.10.2013 N 567 «Об утверждении Методических рекомендац
0301300247625000338;22;567;orders+article;Закупка № 0301300247625000338 ОБОСНОВАНИЕ НАЧАЛЬНОЙ (МАКСИМАЛЬНОЙ) ЦЕНЫ КОНТРАКТА.docx.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301300247625000338 ОБОСНОВАНИЕ НАЧАЛЬНОЙ (МАКСИМАЛЬНОЙ) ЦЕНЫ КОНТРАКТА.docx.docx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с | ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567 | жденными приказом МЭР РФ от 02.10.2013 №567
0301300247625000533;22;567;orders+article;Закупка № 0301300247625000533 ОБОСНОВАНИЕ НАЧАЛЬНОЙ (МАКСИМАЛЬНОЙ) ЦЕНЫ КОНТРАКТА.docx.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301300247625000533 ОБОСНОВАНИЕ НАЧАЛЬНОЙ (МАКСИМАЛЬНОЙ) ЦЕНЫ КОНТРАКТА.docx.docx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с | ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567 | жденными приказом МЭР РФ от 02.10.2013 №567
0301300247625000589;22;567;orders+article;Закупка № 0301300247625000589 ОБОСНОВАНИЕ НАЧАЛЬНОЙ (МАКСИМАЛЬНОЙ) ЦЕНЫ КОНТРАКТА.docx.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301300247625000589 ОБОСНОВАНИЕ НАЧАЛЬНОЙ (МАКСИМАЛЬНОЙ) ЦЕНЫ КОНТРАКТА.docx.docx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с | ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567 | жденными приказом МЭР РФ от 02.10.2013 №567
0306100001225000004;22;;article;Закупка № 0306100001225000004 Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0306100001225000004 Обоснование НМЦК.doc;22: х цен (анализа рынка) в соответствии со ст. 22 Закона, с учётом всех расходов и обязат;
0306100005925000013;22;567;orders+article;Закупка № 0306100005925000013 Приложение № 2 НМЦК буи.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0306100005925000013 Приложение № 2 НМЦК буи.docx;22: н как приоритетный в соответствии с п.6 ст. 22 Федерального закона от 5 апреля 2013 го;567: номического развития РФ от 02.10.2013. №567 (расчет приведен в Приложении Б к насто
0307300005225000356;22;;article;Закупка № 0307300005225000356 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0307300005225000356 Обоснование НМЦК.docx;22:         В соответствии с ч.1 статьи 22 Федерального закона от 05.04.2013 № 44-;
0318300165725000286;22;;article;Закупка № 0318300165725000286 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0318300165725000286 Обоснование НМЦК.docx;22: ставимых рыночных цен (анализа рынка) - ст. 22, Федерального закона от 05.04.2013 N 44;
0318300165725000399;22;;article;Закупка № 0318300165725000399 Обоснование НМЦК (14).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0318300165725000399 Обоснование НМЦК (14).docx;22: ставимых рыночных цен (анализа рынка) - ст. 22, Федерального закона от 05.04.2013 N 44;
0319100038625000015;;567;orders;Закупка № 0319100038625000015 Приложение 2. Обоснование НМЦК плот.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0319100038625000015 Приложение 2. Обоснование НМЦК плот.docx;;567: кого развития РФ от 2 октября 2013 г. № 567.
0319300003425000027;22;567;orders+article;Закупка № 0319300003425000027 Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0319300003425000027 Обоснование НМЦК.doc;"22: контракта(в соответствии с положениями статьи 22 Федерального закона от 05.04.2013 № 44- | очных цен  в соответствии с положениями статьи 22 Федерального закона от 05.04.2013 № 44-";567: инэкономразвития России от 02.10.2013 № 567 «Об утверждении Методических рекомендац
0319300008025000007;22;567;orders+article;Закупка № 0319300008025000007 НМЦК Лодка гребная.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0319300008025000007 НМЦК Лодка гребная.docx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567
0320100003925000004;22;567;orders+article;Закупка № 0320100003925000004 НМЦК_алюминиевая-плоскодонная-моторная-лодка-под-румпельное-управление.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0320100003925000004 НМЦК_алюминиевая-плоскодонная-моторная-лодка-под-румпельное-управление.docx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567
0322100014325000007;22;;article;Закупка № 0322100014325000007 Прил1 Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0322100014325000007 Прил1 Обоснование НМЦК.doc;22: ределена и обоснована в соответствие со статьёй 22 Федерального закона от 05 апреля 2013г. | определения и обоснования НМЦК (часть 6 статьи 22 № 44-ФЗ). В целях получения ценовой инф;
0322400004025000005;;567;orders;Закупка № 0322400004025000005 VI. ОБОСНОВАНИЕ НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0322400004025000005 VI. ОБОСНОВАНИЕ НМЦК.doc;;"567: инэкономразвития России от 02.10.2013 № 567.В целях получения ценовой информации З"
0324100004125000001;;639;orders;Закупка № 0324100004125000001 2 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0324100004125000001 2 Обоснование НМЦК.docx;;639: зом Минпромторга России от 28.02.2023 № 639 «Об утверждении Порядка определения нач
0325100002425000004;22;567;orders+article;Закупка № 0325100002425000004 Приложение 2 Расчет-обоснование Н(М)ЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0325100002425000004 Приложение 2 Расчет-обоснование Н(М)ЦК.docx;22: и обосновывается в соответствии с п.2-5 ст.22 Федерального закона от 05.04.2013 №44-Ф | и обосновывается в соответствии с п.2-5 ст.22 Федерального закона от 05.04.2013 №44-Ф;"567: асно Приказа Минэкономразвития России № 567 от 02.10.2013г. ""Об утверждении Методич | асно Приказа Минэкономразвития России № 567 от 02.10.2013г. ""Об утверждении Методич"
0325100002425000006;22;567;orders+article;Закупка № 0325100002425000006 Приложение 2 Расчет-обоснование Н(М)ЦК камышекосилка.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0325100002425000006 Приложение 2 Расчет-обоснование Н(М)ЦК камышекосилка.docx;22: и обосновывается в соответствии с п.2-5 ст.22 Федерального закона от 05.04.2013 №44-Ф | и обосновывается в соответствии с п.2-5 ст.22 Федерального закона от 05.04.2013 №44-Ф;"567: асно Приказа Минэкономразвития России № 567 от 02.10.2013г. ""Об утверждении Методич | асно Приказа Минэкономразвития России № 567 от 02.10.2013г. ""Об утверждении Методич"
0325100011425000005;;567;orders;Закупка № 0325100011425000005 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0325100011425000005 Обоснование НМЦК.docx;;567: жденной приказом МЭР РФ от 02.10.2013 № 567 (далее – Методика) с учетом запрошенной
0329100005925000090;22;567;orders+article;Закупка № 0329100005925000090 94эа обоснование нмцк.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0329100005925000090 94эа обоснование нмцк.doc;22: ны договора определен в соответствии со статьей 22 44-ФЗ, на основании приказа Министерств;567: Российской Федерации от 02.10.2013 г. № 567 «Об утверждении Методических рекомендац
0333200014025000033;22;567;orders+article;Закупка № 0333200014025000033 ОНМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0333200014025000033 ОНМЦК.doc;22: ых цен (анализ рынка) в соответствии со ст. 22 Федерального закона, Методическими реко;567: нистерства экономического развития РФ № 567 от 02.10.2013 «Об утверждении методичес
0335100016125000092;22;;article;Закупка № 0335100016125000092 НМЦК_Поставка-весельных-спортивно-тренировочных-судов-с-парусным-вооружением-для-БГАРФ-ФГБОУ-ВО--КГТУ-.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0335100016125000092 НМЦК_Поставка-весельных-спортивно-тренировочных-судов-с-парусным-вооружением-для-БГАРФ-ФГБОУ-ВО--КГТУ-.docx;22:  (НМЦК), определенная в соответствии со статьей 22 Закона N 44-ФЗ, не должна превышать дов;
0335100016125000118;22;;article;Закупка № 0335100016125000118 НМЦК_Поставка-весельных-спортивно-тренировочных-судов-с-парусным-вооружением-для-БГАРФ-ФГБОУ-ВО--КГТУ-.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0335100016125000118 НМЦК_Поставка-весельных-спортивно-тренировочных-судов-с-парусным-вооружением-для-БГАРФ-ФГБОУ-ВО--КГТУ-.docx;22:  (НМЦК), определенная в соответствии со статьей 22 Закона N 44-ФЗ, не должна превышать дов;
0335300053925000042;22;567;orders+article;Закупка № 0335300053925000042 2. Обоснование НМЦК (понтон).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0335300053925000042 2. Обоснование НМЦК (понтон).docx;22: В соответствии со ст.22 Федерального закона от 05.04.2013 № 44-;567: Российской Федерации от 02.10.2013 г. № 567                           «Об утвержден
0338100004625000034;22;;article;Закупка № 0338100004625000034 Приложение II Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0338100004625000034 Приложение II Обоснование НМЦК.doc;22: ован иной метод. В соответствии с ч. 12 ст. 22 Федерального закона от 05.04.2013 г. №  | доступной информации, указанной в ч. 18 ст. 22 Закона № 44–ФЗ, о ценах на товары, кото;
0348100026525000110;22;567;orders+article;Закупка № 0348100026525000110 Приложение №1 к Извещению. РНМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348100026525000110 Приложение №1 к Извещению. РНМЦК.docx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567
0351400002125000056;22|34;;article;Закупка № 0351400002125000056 Обоснование невозможности.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0351400002125000056 Обоснование невозможности.docx;22: в определения НМЦК, указанных в части 1 статьи 22 Закона № 44-ФЗ | ем: - иной метод определения НМЦК (ч.12 ст. 22 Закона№ 44-ФЗ) на основании 1 коммерчес || 34: лей учреждения и руководствуясь ст. 28, ст. 34 БК РФ НМЦК определена как наименьшая  и;
0353300009925000013;22;;article;Закупка № 0353300009925000013 2 НМЦк.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0353300009925000013 2 НМЦк.docx;22: ен (анализа рынка) В соответствии с ч.6 статьи 22 Федерального закона от 05.04.2013 N 44-;
0357300040425000001;22;567;orders+article;Закупка № 0357300040425000001 ОНМЦК лодка.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0357300040425000001 ОНМЦК лодка.docx;22: з рынка) – в соответствии с требованием ст. 22 Федерального закона № 44-ФЗ от 05.04.20;567: м Минэкономразвития РФ от 02.10.2013г. №567, и порядком определения начальной (макс
0358100009325000006;;567;orders;Закупка № 0358100009325000006 Приложение № 3 к Извещению ОБОСНОВАНИЕ Н(М)ЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358100009325000006 Приложение № 3 к Извещению ОБОСНОВАНИЕ Н(М)ЦК.docx;;"567: инэкономразвития России от 02.10.2013 N 567 ""Об утверждении Методических рекомендац"
0358200005425000001;22;567;orders+article;Закупка № 0358200005425000001 Обоснование_НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200005425000001 Обоснование_НМЦК.docx;22:  (ст. 22 ч.1 п. 1 – метод сопоставимых рыночных  | боснована в соответствии с требованиями статьи 22 Закона и приказом Министерства экономич;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац | инэкономразвития России от 02.10.2013 № 567 «Об утверждении Методических рекомендац
0358200011325000002;22;567;orders+article;Закупка № 0358200011325000002 Обоснование_НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200011325000002 Обоснование_НМЦК.docx;22:  (ст. 22 ч.1 п. 1 – метод сопоставимых рыночных  | боснована в соответствии с требованиями статьи 22 Закона и приказом Министерства экономич;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац
0358200011325000003;22;567;orders+article;Закупка № 0358200011325000003 Обоснование_НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200011325000003 Обоснование_НМЦК.docx;22:  (ст. 22 ч.1 п. 1 – метод сопоставимых рыночных  | боснована в соответствии с требованиями статьи 22 Закона и приказом Министерства экономич;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац | инэкономразвития России от 02.10.2013 № 567 «Об утверждении Методических рекомендац
0358200011325000005;22;567;orders+article;Закупка № 0358200011325000005 Обоснование_НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200011325000005 Обоснование_НМЦК.docx;22:  (ст. 22 ч.1 п. 1 – метод сопоставимых рыночных  | боснована в соответствии с требованиями статьи 22 Закона и приказом Министерства экономич;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац | инэкономразвития России от 02.10.2013 № 567 «Об утверждении Методических рекомендац
0358200011325000006;22;567;orders+article;Закупка № 0358200011325000006 Обоснование_НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200011325000006 Обоснование_НМЦК.docx;22:  (ст. 22 ч.1 п. 1 – метод сопоставимых рыночных  | боснована в соответствии с требованиями статьи 22 Закона и приказом Министерства экономич;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац | инэкономразвития России от 02.10.2013 № 567 «Об утверждении Методических рекомендац
0358200011325000007;22;567;orders+article;Закупка № 0358200011325000007 Обоснование_НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200011325000007 Обоснование_НМЦК.docx;22:  (ст. 22 ч.1 п. 1 – метод сопоставимых рыночных  | боснована в соответствии с требованиями статьи 22 Закона и приказом Министерства экономич;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац | инэкономразвития России от 02.10.2013 № 567 «Об утверждении Методических рекомендац
0358200011325000018;22;567;orders+article;Закупка № 0358200011325000018 Обоснование_НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200011325000018 Обоснование_НМЦК.docx;22:  (ст. 22 ч.1 п. 1 – метод сопоставимых рыночных  | боснована в соответствии с требованиями статьи 22 Закона и приказом Министерства экономич;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац | инэкономразвития России от 02.10.2013 № 567 «Об утверждении Методических рекомендац
0358200054425000001;22;567;orders+article;Закупка № 0358200054425000001 ОБОСНОВАНИЕ НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200054425000001 ОБОСНОВАНИЕ НМЦК.docx;22:           В соответствии с частями 2, 6 статьи 22 Федерального закона от 05.04.2013 № 44-;567: кономразвития России от 02.10.2013 г. № 567 «Об утверждении Методических рекомендац
0358200054425000002;22;567;orders+article;Закупка № 0358200054425000002 ОБОСНОВАНИЕ НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200054425000002 ОБОСНОВАНИЕ НМЦК.docx;22:           В соответствии с частями 2, 6 статьи 22 Федерального закона от 05.04.2013 № 44-;567: кономразвития России от 02.10.2013 г. № 567 «Об утверждении Методических рекомендац
0358200054425000003;22;567;orders+article;Закупка № 0358200054425000003 ОБОСНОВАНИЕ НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200054425000003 ОБОСНОВАНИЕ НМЦК.docx;22:           В соответствии с частями 2, 6 статьи 22 Федерального закона от 05.04.2013 № 44-;567: кономразвития России от 02.10.2013 г. № 567 «Об утверждении Методических рекомендац
0358200054425000004;22;567;orders+article;Закупка № 0358200054425000004 ОБОСНОВАНИЕ НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358200054425000004 ОБОСНОВАНИЕ НМЦК.docx;22:           В соответствии с частями 2, 6 статьи 22 Федерального закона от 05.04.2013 № 44-;567: кономразвития России от 02.10.2013 г. № 567 «Об утверждении Методических рекомендац
